text,aspect,label,
There's very little on their menu if you're trying to avoid cheese and oil - not many grilled entrees at all.,menu,neutral,TRAINU_00001_001
There's very little on their menu if you're trying to avoid cheese and oil - not many grilled entrees at all.,food,negative,TRAINU_00001_002
I will be back not only because the price was so unbelievable but the atmosphere was just plain COOL and the food was spectacular.,price,negative,TRAINU_00002_001
I will be back not only because the price was so unbelievable but the atmosphere was just plain COOL and the food was spectacular.,ambience,positive,TRAINU_00002_002
I will be back not only because the price was so unbelievable but the atmosphere was just plain COOL and the food was spectacular.,food,positive,TRAINU_00002_003
"If you don't mind interacting with sour-puss employees, then by all means, enjoy the treats at Sweet Melissa.",staff,negative,TRAINU_00003_001
"If you don't mind interacting with sour-puss employees, then by all means, enjoy the treats at Sweet Melissa.",service,negative,TRAINU_00003_002
"i would not go after the early bird b/c its not worth it, find better food for full prices.",food,positive,TRAINU_00004_001
This restaurant has taken the trend of serving tiny portions on oversized plates to a new level.,service,negative,TRAINU_00006_001
"The waiter, and someone at the next table, were both correct when they said that the lobster was delicious, but I though the price was a little steep.",food,positive,TRAINU_00007_002
"The waiter, and someone at the next table, were both correct when they said that the lobster was delicious, but I though the price was a little steep.",price,negative,TRAINU_00007_003
"On top of that, when we tried to order more food half-way through our first entree order, the waitress told us that we couldn't because they needed the table for another reservation!",staff,negative,TRAINU_00008_001
"On top of that, when we tried to order more food half-way through our first entree order, the waitress told us that we couldn't because they needed the table for another reservation!",miscellaneous,neutral,TRAINU_00008_002
The service was slow (10 minutes for drinks??),service,negative,TRAINU_00009_001
The service was slow (10 minutes for drinks??),food,neutral,TRAINU_00009_002
The waitress was slow and forgot drinks and food we ordered.,staff,negative,TRAINU_00010_001
The waitress was slow and forgot drinks and food we ordered.,food,neutral,TRAINU_00010_002
Apparently the same hostess was also trying to kick out a group of women having drinks at a table and giving them a hard time for holding up a table.,staff,negative,TRAINU_00012_001
Apparently the same hostess was also trying to kick out a group of women having drinks at a table and giving them a hard time for holding up a table.,food,neutral,TRAINU_00012_002
The food is decent but small portions so expect to order a lot.,food,positive,TRAINU_00013_001
The food is decent but small portions so expect to order a lot.,miscellaneous,negative,TRAINU_00013_002
"When we ordered our Margaritas, the waiter said $10, so we gave him a 20 and waited, and when he didn't give us our change, we asked and he said - Happy Hour's over, they're $10 each.",food,neutral,TRAINU_00014_001
"When we ordered our Margaritas, the waiter said $10, so we gave him a 20 and waited, and when he didn't give us our change, we asked and he said - Happy Hour's over, they're $10 each.",staff,negative,TRAINU_00014_002
"I loved the food and service here, the only downside was the decor was dissappointing and the prices are a bit high (about $30 for an entree.",food,positive,TRAINU_00015_001
"I loved the food and service here, the only downside was the decor was dissappointing and the prices are a bit high (about $30 for an entree.",ambience,negative,TRAINU_00015_003
"I loved the food and service here, the only downside was the decor was dissappointing and the prices are a bit high (about $30 for an entree.",price,negative,TRAINU_00015_004
"The food at Forest Hills was great, the service more than perfect, but but the ambience was too hot they do not have AC and the employes was sweating a lot , it was a nasty esxperience because I eat in front of the service that was sweating like animals.",food,positive,TRAINU_00016_001
"The food at Forest Hills was great, the service more than perfect, but but the ambience was too hot they do not have AC and the employes was sweating a lot , it was a nasty esxperience because I eat in front of the service that was sweating like animals.",ambience,negative,TRAINU_00016_002
"The food at Forest Hills was great, the service more than perfect, but but the ambience was too hot they do not have AC and the employes was sweating a lot , it was a nasty esxperience because I eat in front of the service that was sweating like animals.",staff,negative,TRAINU_00016_003
The food is average and the service is insulting.,food,negative,TRAINU_00017_001
The food is average and the service is insulting.,service,negative,TRAINU_00017_002
"We were promptly seated - the waitress was very attentive, got us drinks and menus.",staff,positive,TRAINU_00018_001
